Strain,DPI,DENV status,Name,Target/Ref
WT+D5,5,Pos,"WT,D5,CC,+,5",0.2118
WT-D5,5,Neg,"WT,D5,CC,-,2",0.1081
WT-D5,5,Neg,"WT,D5,CC,-,3",0.1131
WT-D5,5,Neg,"WT,D5,CC,-,4",8.73E-02
wMel+D5,5,Pos,"wMel,D5,CC+,1",8.44E-02
wMel+D5,5,Pos,"wMel,D5,CC+,2",3.37E-02
wMel+D5,5,Pos,"wMel,D5,CC+,3",0.134
wMel+D5,5,Pos,"wMel,D5,CC+,6",0.1097
wMel-D5,5,Neg,"wMel,D5,CC,-,1",2.20E-02
wMel-D5,5,Neg,"wMel,D5,CC,-,2",5.68E-03
wMel-D5,5,Neg,"wMel,D5,CC,-,3",6.04E-03
wMel-D5,5,Neg,"wMel,D5,CC,-,4",5.00E-03
wMel-D5,5,Neg,"wMel,D5,CC,-,5",2.24E-03
wMel-D5,5,Neg,"wMel,D5,CC,-,6",1.66E-03
WT+D10,10,Pos,"WT,D10,CC,+,2",
WT+D10,10,Pos,"WT,D10,CC,+,4",
WT+D10,10,Pos,"WT,D10,CC,+,6",
WT-D10,10,Neg,"WT,D10,CC,-,1",
WT-D10,10,Neg,"WT,D10,CC,-,2",
WT-D10,10,Neg,"WT,D10,CC,-,4",
WT-D10,10,Neg,"WT,D10,CC,-,6",
wMel+D10,10,Pos,"wMel,D10,CC,+,2",3.58E-02
wMel+D10,10,Pos,"wMel,D10,CC,+,3",5.16E-02
wMel+D10,10,Pos,"wMel,D10,CC,+,5",4.11E-02
wMel+D10,10,Pos,"wMel,D10,CC,+,6",4.08E-02
wMel-D10,10,Neg,"wMel,D10,CC,-,6",2.89E-02
